"csa_geoid","industry_employment_share","location_quotient","industry_present","industry_comparative_advantage","industry_feasibility","industry_feasibility_percentile_score"
"101",0.000608397954132981,0.70944619834033,1,0,0.297222837144489,45.3
"104",0.000459324625164284,0.535613420316781,1,0,0.285401766957273,35.36
"105",0.000456684922398558,0.532535291800453,1,0,0.295835009053567,44.75
"106",0.000103608756420043,0.120817037364498,1,0,0.316118147175638,54.7
"107",0.000411020486802389,0.47928649302823,1,0,0.287060303973177,37.57
"108",0.00061253241317353,0.714267345795849,1,0,0.370546175863695,83.43
"118",0.000238841493052646,0.278510452083294,1,0,0.285883285248455,35.91
"120",0.000239412201766697,0.279175949271102,1,0,0.372994031732269,85.08
"122",0.00057745887644555,0.673368478327638,1,0,0.411799804877305,97.24
"132",0.0124742562146573,14.5460937014878,1,1,0.362711455442966,80.11
"142",0.000920774174850487,1.07370469187155,1,1,0.379319655488349,87.85
"144",3.04154753938804e-05,0.0354671531064778,1,0,0.213193731867736,6.63
"145",0.000203830235999965,0.237684208263099,1,0,0.178656798373496,1.66
"146",0.000105614279050528,0.123155655363158,1,0,0.270890971192303,27.62
"147",0.000923030673833562,1.07633597064924,1,1,0.413556574242052,97.79
"148",0.000381328820549315,0.444663365842255,1,0,0.329227953931027,66.3
"150",0.000596253540255395,0.695284730179571,1,0,0.315617246554529,54.14
"152",0.00128122998078155,1.49402826372169,1,1,0.202925464580643,4.42
"154",0.0007200136307924,0.839600017798934,1,0,0.245563476238812,16.57
"160",0.000249802170093483,0.291291577668997,1,0,0.324996268661471,62.98
"161",0.000386329100883406,0.450494138035946,1,0,0.2402459301973,14.36
"162",0.00123719920594306,1.44268445888647,1,1,0.299703640389765,47.51
"163",0.0025940242449928,3.02486329303227,1,1,0.38128463293539,90.06
"164",0.000645170338994937,0.75232607403189,1,0,0.320647854659226,60.22
"166",0.000151903861733729,0.177133431314356,1,0,0.217273171543494,7.73
"168",0.0002925574913965,0.341148090090166,1,0,0.245773949144293,17.13
"169",0.000428279854117175,0.499412452433672,1,0,0.210548824723336,6.08
"170",0.00129640180268082,1.51171995925619,1,1,0.327694739691991,65.19
"172",0.000592142747714484,0.690491179970364,1,0,0.401604429472431,93.92
"174",0.00065928381850404,0.768783648083658,1,0,0.368267283566749,82.87
"176",0.00050884394165724,0.593357353529714,1,0,0.408086153557187,95.03
"178",0.00070926754391719,0.827069123457718,1,0,0.366795943574151,81.77
"184",0.000421843088167328,0.491906610078838,1,0,0.399074811461468,93.37
"190",0.000918867562636882,1.07148141222792,1,1,0.286524029913873,36.46
"192",0.000753300524547651,0.878415500442815,1,0,0.360235303505106,78.45
"194",0.000566733924451554,0.660862229140187,1,0,0.235295095164971,13.26
"198",0.00107048537216994,1.24828128120053,1,1,0.32366287681157,61.88
"204",0.00901030836969107,10.5068220156345,1,1,0.339586238164907,70.17
"206",0.000802900266287779,0.936253216656609,1,0,0.443616982357384,99.45
"209",0.00059963853956566,0.69923194084282,1,0,0.321371831996148,60.77
"212",0.000225351045799286,0.262779389128873,1,0,0.318258476616663,56.91
"216",0.000774269152698433,0.902866788329185,1,0,0.38641455261661,91.71
"218",0.000471516217050977,0.549829902237824,1,0,0.298525781904762,46.41
"220",0.000205661432389192,0.239819546338987,1,0,0.340287471819292,70.72
"221",0.000495431024991743,0.577716698145601,1,0,0.224317409394013,10.5
"222",0.000107758620689655,0.125656148689092,1,0,0.2886454298016,39.23
"228",0.000949528422125924,1.10723470504322,1,1,0.29070213775751,40.88
"232",6.94522819415385e-05,0.0809875461525885,1,0,0.300910984945362,48.07
"233",0.000762153628395667,0.888739007985567,1,0,0.244414470074162,16.02
"236",0.000205465379083624,0.23959093072422,1,0,0.232442680259072,12.71
"238",0.00149442303018373,1.74263034626238,1,1,0.303676749490022,50.28
"240",0.000683686982230298,0.797239910330204,1,0,0.284657219356511,34.81
"241",0.00106732396525595,1.24459479918444,1,1,0.353135786506579,73.48
"242",7.63032596752533e-05,0.088976396337045,1,0,0.238758011080783,13.81
"244",0.00311131402289521,3.62806924380864,1,1,0.319169686288764,58.56
"246",0.000173193435024121,0.201958969816833,1,0,0.210371026163562,5.52
"248",0.000246273305422359,0.287176607182361,1,0,0.220148147856693,9.39
"250",0.00138865009985055,1.6192896893742,1,1,0.302328645699366,48.62
"258",0.000233844040825025,0.272682977713619,1,0,0.357121876869523,75.14
"260",0.00177056473533798,2.06463616760687,1,1,0.263042007803397,23.76
"264",0.000404547109510903,0.471737958588445,1,0,0.251033899623228,18.78
"266",0.000547921576187734,0.638925355639944,1,0,0.365212573166596,81.22
"267",0.000278673322794997,0.324957912979052,1,0,0.312358079195077,51.93
"268",0.000762172525224575,0.888761043371023,1,0,0.383829399052664,91.16
"273",0.000498471442624081,0.581262095884,1,0,0.374204895511039,85.64
"274",0.00106632155518898,1.24342589977187,1,1,0.271379271399219,28.18
"276",0.00037964046697278,0.442694595207525,1,0,0.309670507850996,50.83
"277",0.000238009320752109,0.277540065067741,1,0,0.269289205206876,27.07
"279",0.000895423912531222,1.04414402831711,1,1,0.264351273703922,24.86
"284",0.00110657457931087,1.29036451082568,1,1,0.327645215581942,64.64
"288",0.00232158652496406,2.70717664822043,1,1,0.433449363921411,98.9
"290",0.000438096313442105,0.510859318258786,1,0,0.263896710848199,24.31
"292",0.000415332089683573,0.484314205978331,1,0,0.325906428453332,64.09
"294",0.000321916267155887,0.375383037313329,1,0,0.364024801064043,80.66
"296",0.000143428996127417,0.167250983247266,1,0,0.189996980070212,2.76
"298",0.00103019785602767,1.20130244937911,1,1,0.337544481079095,68.51
"300",0.00150212923720457,1.75161646996221,1,1,0.409136034301408,95.58
"304",0.00183316234422097,2.13763055449714,1,1,0.320037051927104,59.67
"306",0.000813421453990849,0.948521858533626,1,0,0.303659958145984,49.72
"308",0.000266484375905178,0.310744515359926,1,0,0.280708115765235,32.6
"309",0.000360487017961266,0.420359967857095,1,0,0.316947937272813,55.8
"310",0.000106717148517792,0.12444169938336,1,0,0.277738948282034,32.04
"312",0.000951674008394216,1.1097366497176,1,1,0.389540548335711,92.27
"313",6.6972507785554e-05,0.078095908638434,1,0,0.276856485082518,31.49
"314",6.5162498981836e-05,0.0759852771742137,1,0,0.24098463023678,15.47
"315",0.000822637925614805,0.959269085264599,1,0,0.353323606221573,74.03
"317",0.00267096752171761,3.11458600624891,1,1,0.251559433419216,19.34
"318",0.00431101869801763,5.02703174050153,1,1,0.39463994456236,92.82
"320",0.000672860803710756,0.784615621998748,1,0,0.249964376440931,17.68
"324",0.0210980482053969,24.6022031961801,1,1,0.331322401750015,67.4
"330",0.00025010870108932,0.291649020109742,1,0,0.258562899438017,21.55
"332",0.000496753361955789,0.579258660812791,1,0,0.288313511849017,38.67
"334",7.86019336075667e-05,0.0916568548616431,1,0,0.190770411916266,3.87
"336",0.000613170815866902,0.715011780192359,1,0,0.293871051940629,43.09
"338",0.000387555931367368,0.451924731641565,1,0,0.297526996388228,45.86
"339",0.000603127914151701,0.703300862373267,1,0,0.280850719690455,33.15
"340",0.000447526448167616,0.521855695194972,1,0,0.355369095633303,74.59
"348",0.000527783188534409,0.61544220211469,1,0,0.371513914539693,84.53
"350",0.000488797375158095,0.56998127164781,1,0,0.359179656248093,77.9
"352",0.000132128193709719,0.154073241180634,1,0,0.336068985756618,67.96
"356",0.000204139958355448,0.238045372113415,1,0,0.223541249658971,9.94
"357",0.000604894723700268,0.705361119658662,1,0,0.314379179255752,53.59
"359",0.000233714634431359,0.272532078333692,1,0,0.267301148730924,25.41
"360",0.000144830659536542,0.168885447614217,1,0,0.282938955864811,34.25
"361",0.000300126976797876,0.349974784205289,1,0,0.250170496783923,18.23
"365",0.00122457554497758,1.42796414593957,1,1,0.276585966000055,30.94
"366",0.000236355822948002,0.27561193936791,1,0,0.338755225565817,69.06
"368",0.000791000664496165,0.922377221191016,1,0,0.329885785461669,66.85
"370",0.00112497140021739,1.3118168424205,1,1,0.446665621308896,100
"371",0.00165388443299573,1.92857654354736,1,1,0.26138854262851,22.65
"372",0.000899354810679295,1.0487278056429,1,1,0.252307404811109,19.89
"376",0.000266678878224727,0.310971322386865,1,0,0.358417065540389,76.8
"378",0.000526051912300847,0.613423379839181,1,0,0.358232246178357,75.69
"380",0.00271757230207681,3.16893133076178,1,1,0.428756775427156,98.34
"384",0.00104114162004941,1.21406385287828,1,1,0.346573287405982,72.38
"388",0.00059082608228596,0.6889558308187,1,0,0.287236994013427,38.12
"393",0.000345006037605658,0.402307766028904,1,0,0.17602935484828,1.1
"394",0.000936201306114993,1.09169410086372,1,1,0.231879096798283,12.15
"396",0.000444031391986782,0.517780148418994,1,0,0.339565004337401,69.61
"400",0.000331115409451922,0.386110056504598,1,0,0.375014322025423,86.74
"404",0.00201449510269294,2.34908070034097,1,1,0.262346711086677,23.2
"405",0.000523488083758093,0.610433727424184,1,0,0.273317923052513,29.28
"406",0.00309175480879937,3.60526145823251,1,1,0.406511171332814,94.48
"408",0.00054615560502501,0.636866075987107,1,0,0.282717018169832,33.7
"412",0.00181611906566279,2.11775657382674,1,1,0.380956778458574,88.95
"416",0.000408808046957408,0.476706591129456,1,0,0.360246137854847,79.01
"420",0.00069418237088381,0.809478468217779,1,0,0.324134173469065,62.43
"422",0.00084470582038055,0.98500221592452,1,0,0.377807554539233,87.29
"424",0.00320319457611537,3.73521015173023,1,1,0.313565492500317,53.04
"425",0.000878198353750205,1.02405749267303,1,1,0.292983525038234,41.99
"427",0.00062957966298971,0.734145957306766,1,0,0.254916708638891,20.44
