"industry_code","industry_employment_share","location_quotient","industry_present","industry_comparative_advantage","industry_feasibility","industry_feasibility_percentile_score"
"111000",0.00704044361025226,1.3870173263782,1,1,0.3242020316882,50.68
"112000",0.00232864230029361,0.878200431419299,1,0,0.327640053012833,49.49
"113110",1.55762026775492e-05,0.615717345678728,1,0,0.295468511382223,61.22
"113210",0,0,0,0,0.282398706135502,57.99
"113310",0.000241431141502013,0.676275977180792,1,0,0.32297083943962,58.5
"114111",1.55762026775492e-05,0.223906447962661,1,0,0.276732522947768,64.12
"114112",1.55762026775492e-05,0.229063058414307,1,0,0.257869555013245,65.48
"114119",0,0,0,0,0.24312329495543,67.86
"114210",0,0,0,0,0.309163234899062,52.55
"115111",3.11524053550985e-05,0.889683320590822,1,0,0.263214527511135,62.93
"115112",3.89405066938731e-05,0.196437298842723,1,0,0.318259051735526,48.47
"115113",7.78810133877462e-06,0.112286555886328,1,0,0.275726439075857,46.6
"115114",0,0,0,0,0.267084327586484,53.57
"115115",0.000950148363330504,0.483858982881565,1,0,0.321236306998828,44.9
"115116",3.89405066938731e-05,0.29381421988002,1,0,0.266660837497901,52.55
"115210",0.000155762026775492,0.619453733276267,1,0,0.323560355662824,54.25
"115310",7.78810133877462e-06,0.0539780831433522,1,0,0.307347912784967,58.33
"211120",0,0,0,0,0.246400880021764,45.07
"211130",7.78810133877462e-06,0.0355649590617068,1,0,0.245716682189989,49.49
"212114",0,0,0,0,0.242753662074019,60.37
"212115",0,0,0,0,0.231798769607958,57.14
"212210",0,0,0,0,0.238579885606141,72.11
"212220",0,0,0,0,0.218049545924839,65.48
"212230",0.00348128129843226,30.1416790507625,1,1,0.277334003928837,84.35
"212290",0,0,0,0,0.221559386247009,62.07
"212311",1.55762026775492e-05,0.346650516333868,1,0,0.274241744481562,64.97
"212312",0.000654200512457068,4.72992272268317,1,1,0.297119619321898,64.97
"212313",0,0,0,0,0.239386481023005,70.07
