"commuting_zone_geoid","industry_employment_share","location_quotient","industry_present","industry_comparative_advantage","industry_feasibility","industry_feasibility_percentile_score"
"1",0.00695555308009357,0.87611830414338,1,0,0.306264913901756,43.71
"10",0.00603838156104177,0.760591796527474,1,0,0.315599062805428,50
"100",0.00769725532588628,0.969542781863634,1,0,0.291462744461521,36.05
"101",0.00593679108439795,0.747795506269977,1,0,0.400419543715273,90.82
"102",0.00626956544236225,0.789711613128034,1,0,0.391936603619977,87.24
"103",0.00510118443810344,0.642542872949172,1,0,0.280836602004719,30.95
"104",0.0113508653630029,1.42974984129661,1,1,0.329237153189811,57.31
"105",0.00328415521422797,0.413670697887096,1,0,0.280939001519484,31.12
"106",0.00467472809565629,0.588826625911207,1,0,0.272313074669709,27.72
"107",0.00816404025061705,1.02833879879365,1,1,0.317625877380377,51.19
"108",0.00467080588735857,0.588332586336967,1,0,0.431604754387398,96.77
"109",0.00467836257309942,0.589284423037798,1,0,0.237241647590614,15.82
"11",0.0128796026015261,1.62230888893424,1,1,0.350034646994417,68.37
"110",0.00280648852881873,0.353504019328602,1,0,0.314497251183458,49.15
"111",0.00709695225328234,0.893928879721614,1,0,0.344855615462083,65.82
"112",0.00555421923859089,0.699606930479973,1,0,0.397325167975791,89.63
"113",0.00441328890325313,0.555895864080001,1,0,0.376260369619817,81.12
"114",0.00528268443780247,0.665404530405778,1,0,0.431000962676703,96.43
"115",0.00581577137139641,0.73255191823292,1,0,0.410426017045817,94.05
"116",0.00631811720107408,0.795827170584927,1,0,0.284125173885289,32.14
"117",0.00319023427154311,0.401840458640687,1,0,0.325642774664564,55.95
"118",0.00489045383411581,0.615999341863896,1,0,0.2683138800339,26.7
"119",0.00484956644875948,0.610849185390824,1,0,0.346968190151365,67.01
"12",0.0143845502961525,1.81187141643677,1,1,0.246255516469117,18.54
"120",0.00628863781709657,0.792113960779731,1,0,0.261607652244429,25.34
"121",0.0153931957612939,1.9389199407203,1,1,0.36620429976264,76.02
"122",0.0164966488003824,2.07791038392098,1,1,0.324333223616008,54.59
"123",0.0105996131528046,1.33512245440102,1,1,0.381664192879619,83.84
"124",0.00688242739610435,0.866907426229255,1,0,0.369190200328396,78.4
"125",0.00837981942310694,1.05551824527252,1,1,0.374986880305822,80.95
"126",0.00964523508026633,1.21490942622114,1,1,0.248297848437221,19.39
"127",0.00837771952380157,1.05525374291058,1,1,0.24800886040764,19.22
"128",0.011767280685756,1.48220132605831,1,1,0.361454313823069,74.15
"129",0.0115419948789117,1.45382442823765,1,1,0.389063122045991,85.88
"13",0.00254676171327606,0.320788947708339,1,0,0.23986928578001,16.33
"130",0.0231913714456239,2.92117460505756,1,1,0.307997488050295,45.75
"131",0.011238846945779,1.41564005238394,1,1,0.332489151181488,59.52
"132",0.011510986348508,1.44991860784373,1,1,0.363146102954165,74.66
"133",0.00769158024146518,0.968827950809708,1,0,0.29496556386974,37.93
"134",0.0354182366239638,4.46126498488582,1,1,0.251245060603088,20.58
"135",0.0138210348522548,1.74089126728382,1,1,0.37404290002173,80.1
"136",0.0089244492256662,1.12411956762742,1,1,0.400155868769737,90.65
"137",0.00894738788035642,1.12700891014485,1,1,0.321063767396913,52.72
"138",0.0119319694174445,1.50294544383831,1,1,0.422620660101953,95.92
"139",0.0105353507732507,1.32702799428451,1,1,0.409048411674034,93.54
"14",0.00268219516499029,0.337848083721512,1,0,0.293980013446108,37.59
"140",0.00874106475425154,1.10102054297015,1,1,0.366249668641302,76.19
"141",0.00625359778115024,0.78770033378028,1,0,0.343285265297092,64.97
"142",0.00505516856944687,0.636746735050885,1,0,0.416807116603617,94.73
"143",0.00460264269446479,0.579746781545395,1,0,0.46378713368257,99.49
"144",0.00462268181270471,0.5822708997696,1,0,0.266421253209765,26.19
"145",0.00644572639510243,0.811900766656703,1,0,0.362873633271675,74.49
"146",0.00523035939395381,0.658813691668293,1,0,0.373469094183599,79.42
"147",0.00924072077622055,1.1639569883659,1,1,0.307087751154839,44.73
"148",0.00580001055039233,0.730566692383732,1,0,0.368168918476687,77.38
"149",0.00581195798915406,0.732071586339145,1,0,0.329319663228386,57.48
"15",0.00323978729290259,0.408082134685529,1,0,0.358210177295238,72.45
"150",0.0122639195486878,1.54475773147326,1,1,0.339473815065754,62.24
"151",0.00499229511474986,0.628827223277992,1,0,0.395707903465487,88.95
"152",0.00735063745692044,0.925882952652748,1,0,0.321578728971835,52.89
"153",0.00407659450065778,0.513485990182175,1,0,0.277883807828349,30.1
"154",0.00733622679304989,0.92406779198235,1,0,0.438988108199829,97.11
"155",0.030305720924894,3.81729483145624,1,1,0.373652077226231,79.59
"156",0.0124118578212692,1.56339196903848,1,1,0.292584685270134,36.9
"157",0.0153367575779498,1.93181101280169,1,1,0.345663054313204,66.33
"158",0.0088683351468988,1.11705146377398,1,1,0.365280335222049,75.51
"159",0.0139557058033199,1.75785435906185,1,1,0.30154284802598,41.16
"16",0.0131125247062606,1.65164765136587,1,1,0.364577040646839,75.17
"160",0.00769243402144816,0.968935492548256,1,0,0.33219066532805,59.35
"161",0.00864415376592203,1.08881367893354,1,1,0.367581285067783,76.7
"162",0.00897161648734076,1.13006073446686,1,1,0.286189826856657,33.67
"163",0.0169042769857434,2.12925504485119,1,1,0.284345701199302,32.48
"164",0.0103134131667908,1.29907283426226,1,1,0.338381375554086,61.9
"165",0.0111759315138917,1.40771525318323,1,1,0.36034460492777,73.47
"166",0.0151074956420686,1.90293328357499,1,1,0.277748319894085,29.93
"167",0.00849024306744266,1.06942715731714,1,1,0.260456281301558,24.66
"168",0.0122200983069361,1.53923802778229,1,1,0.348837388713777,67.69
"169",0.0152228198232808,1.91745946501692,1,1,0.253089926733446,20.75
"17",0.00379967151226926,0.47860489644721,1,0,0.250765978699655,20.41
"170",0.00714174333385311,0.899570743869372,1,0,0.381313841019717,83.5
"171",0.0135340700639792,1.70474531299985,1,1,0.287055099723918,33.84
"172",0.00994016411016041,1.25205855275904,1,1,0.363508807831516,74.83
"173",0.0154191430115124,1.94218824456283,1,1,0.274852693856727,28.74
"174",0.00861859605196343,1.08559444090123,1,1,0.40782283734448,93.03
"175",0.0088102808691044,1.10973897333306,1,1,0.350157166502845,68.54
"176",0.0106274269364398,1.33862586594423,1,1,0.220306688094703,10.54
"177",0.0138054885234862,1.73893305877911,1,1,0.285760538974783,33.5
"178",0.00937816630929098,1.18126956523205,1,1,0.397236328838624,89.46
"179",0.0202110080081352,2.5457693812722,1,1,0.265123717690535,25.85
"18",0.00473587636257978,0.596528833816376,1,0,0.315851128355411,50.51
"180",0.0083404446699571,1.05055861926457,1,1,0.394001469595362,88.1
"181",0.00868142929038752,1.09350888705067,1,1,0.271706050844633,27.38
"182",0.0102937319695778,1.2965937996079,1,1,0.314197808794425,48.81
"183",0.0214521452145215,2.70210245959783,1,1,0.182312146971327,5.1
"184",0.00745863354936819,0.939486091365069,1,0,0.242191423681774,17.52
"185",0.0108379416794368,1.36514220727725,1,1,0.261018719401624,25
"186",0.0175602064220183,2.21187561847482,1,1,0.290891885210318,35.88
"187",0.0278033794162826,3.50210103253512,1,1,0.229833942458063,12.41
"188",0.00653791608031671,0.823512937499106,1,0,0.291950959343158,36.39
"189",0.00854475645561997,1.07629363891149,1,1,0.32409242390344,54.25
"19",0.00292342512259525,0.368233299524162,1,0,0.258914934876134,23.3
"190",0.0112122239315794,1.41228662961752,1,1,0.306814653532955,44.39
"191",0.0123160108140583,1.55131912357991,1,1,0.275199931588744,28.91
"192",0.0120722233886206,1.52061177029161,1,1,0.247126596323321,18.88
"193",0.0105423719661996,1.3279123805567,1,1,0.344091590477462,65.31
"194",0.00732502807036304,0.922657205963382,1,0,0.230578429255076,12.59
"195",0.0175569667538289,2.21146755134235,1,1,0.234313513546683,13.61
"196",0.0218039215686275,2.74641204925204,1,1,0.224157964634838,10.88
"197",0.00400560785099139,0.504544544059,1,0,0.163590485665574,4.08
"198",0.0217447579601346,2.73895982802062,1,1,0.247491913285375,19.05
"199",0.0106109875064179,1.33655516281164,1,1,0.349844380697792,68.2
"2",0.0063221472721628,0.79633479650729,1,0,0.456450034588545,99.15
"20",0.0140818725951261,1.77374627080541,1,1,0.297290890107126,38.27
"200",0.00804612469084252,1.013486208486,1,1,0.41926565605692,95.58
"201",0.00583833087754848,0.735393503372833,1,0,0.30206726664931,41.5
"202",0.0133267845448592,1.67863572323844,1,1,0.340600142574133,62.93
"203",0.0133888329179702,1.68645130810982,1,1,0.302250480578894,41.67
"204",0.0130515243011591,1.64396406806858,1,1,0.258396304049627,23.13
"205",0.0102302439519712,1.28859687777028,1,1,0.38306648593026,84.35
"206",0.00623838280695316,0.785783862546773,1,0,0.365951501205661,75.68
"207",0.0111291512915129,1.40182283763755,1,1,0.329038390289675,57.14
"208",0.0136261261261261,1.71634065274143,1,1,0.314388707300464,48.98
"209",0.012018544935806,1.513850456776,1,1,0.24143016025001,17.18
"21",0.0147392663266985,1.85655128639906,1,1,0.327319557502557,56.29
"210",0.0095273791244,1.20006434359467,1,1,0.308880163407205,46.26
"211",0.0130473314514541,1.64343593862571,1,1,0.369028999764684,78.23
